Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","076","Brésil","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","104.67","I","Valeur imputée"
"PP","Prix à la Production","096","Brunéi Darussalam","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","","81.21","I","Valeur imputée"
"PP","Prix à la Production","096","Brunéi Darussalam","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","","102.48","I","Valeur imputée"
"PP","Prix à la Production","096","Brunéi Darussalam","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","","81.21","I","Valeur imputée"
"PP","Prix à la Production","096","Brunéi Darussalam","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","","88.05","I","Valeur imputée"
"PP","Prix à la Production","096","Brunéi Darussalam","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","81.21","I","Valeur imputée"
"PP","Prix à la Production","100","Bulgarie","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","","95.85","I","Valeur imputée"
"PP","Prix à la Production","100","Bulgarie","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","","58.92","I","Valeur imputée"
"PP","Prix à la Production","100","Bulgarie","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","","91.45","I","Valeur imputée"
"PP","Prix à la Production","100","Bulgarie","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","","92.29","I","Valeur imputée"
"PP","Prix à la Production","100","Bulgarie","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","75.22","I","Valeur imputée"
"PP","Prix à la Production","854","Burkina Faso","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","","95.7","I","Valeur imputée"
"PP","Prix à la Production","854","Burkina Faso","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","","104.01","I","Valeur imputée"
"PP","Prix à la Production","854","Burkina Faso","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","","112.15","I","Valeur imputée"
"PP","Prix à la Production","854","Burkina Faso","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","","110.28","I","Valeur imputée"
"PP","Prix à la Production","854","Burkina Faso","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","112.97","I","Valeur imputée"
"PP","Prix à la Production","108","Burundi","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","","103.18","I","Valeur imputée"
"PP","Prix à la Production","108","Burundi","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","","111.95","I","Valeur imputée"
"PP","Prix à la Production","108","Burundi","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","","106.91","I","Valeur imputée"
"PP","Prix à la Production","108","Burundi","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","","107.03","I","Valeur imputée"
