Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2016","2016","millions","21.98309","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2017","2017","millions","23.987016","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2018","2018","millions","13.108445","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2019","2019","millions","28.447668","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","276","Allemagne","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2016","2016","millions","1537964.57343","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","276","Allemagne","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2017","2017","millions","1630438.341104","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","276","Allemagne","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2018","2018","millions","1762944.244869","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","276","Allemagne","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2019","2019","millions","1749400.577654","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","276","Allemagne","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2016","2016","millions","6653.502517","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","276","Allemagne","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2017","2017","millions","7232.218894","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","276","Allemagne","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2018","2018","millions","8037.576395","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","276","Allemagne","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2019","2019","millions","7659.444597","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","276","Allemagne","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2016","2016","millions","19278.011949","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","276","Allemagne","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2017","2017","millions","20226.941471","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","276","Allemagne","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2018","2018","millions","22902.250812","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","276","Allemagne","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2019","2019","millions","23361.194072","A","Chiffre officiel","Consolidated General Government Expenditure"
